MUNISIPIU,CONFINAMENTO OBRIGATORIO/KUARENTENA,AUTO KUARENTENA,PASA ONA LORON 14
Aileu,0,2,2
Ainaro,3,8,0
Baucau,0,2,33
Bobonaro,0,4,20
Cova Lima,38,1,23
Dili,820,9,723
Ermera,0,3,8
Lautem,0,2,16
Liquica,0,3,14
Manatuto,41,0,7
Manufahi,0,0,3
Ambeno,47,0,36
Viqueque,1,0,11
